dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_adaptor_enabled,ttt_adaptor_bottleneck,ttt_adaptor_trainable_params,ttt_adaptor_target
ASP-POTASSCO-classification,/data0/zhuhao2025/tabiclv2_test/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4864864864864865,0.4677189476256108,0.3979633853965404,0.8513989588114014,1.503789239435718,2.413328170776367,5.89875078201294,ok,,1035,828,0,259,,0,1e-05,False,1.5766456127166748,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,False,0,0,
BNG(breast-w),/data0/zhuhao2025/tabiclv2_test/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880774596607574,0.9880918254272,0.9990917657501776,0.0343117793715498,38.55464577674866,41.09675621986389,ok,,31492,25193,0,7874,0.0407700259238481,32,1e-05,True,38.124778747558594,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.998802814825534,0.998802814825534,0.98714081600254,0.98714081600254,0,True,False,,True,64,67136,row_interactor_output
Bank_Customer_Churn_Dataset,/data0/zhuhao2025/tabiclv2_test/data178/Bank_Customer_Churn_Dataset,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
Cardiovascular-Disease-dataset,/data0/zhuhao2025/tabiclv2_test/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7323571428571428,0.7318761045552762,0.7323330146393517,0.8009815472592807,0.5432836256403968,146.12035870552063,124.3431360721588,ok,,56000,44800,0,14000,0.5767881274223328,180,1e-05,True,145.24334287643433,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,6,epoch_chunk,roc_auc,,,,,0,False,False,,True,64,67136,row_interactor_output
Customer_Personality_Analysis,/data0/zhuhao2025/tabiclv2_test/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8819285508425728,0.7204332667371802,0.913209542836996,0.2436454730991126,4.655792236328125,1.0710864067077637,ok,,1792,1433,0,448,0.2831569910049438,8,1e-05,True,4.547351837158203,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8802565051177704,0.8802565051177704,0.8913649025069638,0.8913649025069638,0,True,False,,True,64,67136,row_interactor_output
Employee,/data0/zhuhao2025/tabiclv2_test/data178/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.8525054685391413,0.810195887888707,0.8768361292962358,0.3554950746498891,5.506668567657471,1.6360201835632324,ok,,3722,2977,0,931,0.3581120371818542,11,1e-05,True,5.42755126953125,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8830361707566462,0.8831759649795502,0.8523489932885906,0.8523489932885906,3,True,False,,True,64,67136,row_interactor_output
FOREX_audcad-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7162578436965202,0.7160658897928878,0.7155683901557255,0.7893637628418523,0.55318271364183,43.85828423500061,51.58479905128479,ok,,35060,28048,0,8765,0.5659994781017303,32,1e-05,True,43.33509707450867,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7930635829207795,0.7930635829207795,0.7164860239589276,0.7164860239589276,0,True,False,,True,64,67136,row_interactor_output
FOREX_audjpy-hour-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7217341699942955,0.7217080629519984,0.7213977487326864,0.7998381782409456,0.5414034111454933,43.76228213310242,51.66954731941223,ok,,35060,28048,0,8765,0.5632255673408508,32,1e-05,True,43.25361728668213,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7892385244179001,0.7892385244179001,0.716343411294923,0.716343411294923,0,True,False,,True,64,67136,row_interactor_output
FOREX_cadjpy-day-High,/data0/zhuhao2025/tabiclv2_test/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,0.727607507721549,0.7936416013304823,0.5530965550553698,5.557983160018921,0.71026611328125,ok,,1467,1173,0,367,0.5879835784435272,15,1e-05,True,5.514089345932007,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7786236579044798,0.7790401703072936,0.7006802721088435,0.7006802721088435,7,True,False,,True,64,67136,row_interactor_output
Fitness_Club_c,/data0/zhuhao2025/tabiclv2_test/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8231242441768758,0.4537771899844503,3.1018929481506348,0.3802022933959961,ok,,1200,960,0,300,0.4413448274135589,8,1e-05,True,3.0662992000579834,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8249528340579115,0.8249528340579115,0.7666666666666667,0.7666666666666667,0,True,False,,True,64,67136,row_interactor_output
Gender_Gap_in_Spanish_WP,/data0/zhuhao2025/tabiclv2_test/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6157894736842106,0.5716604369641604,0.4326677154459254,0.7080731754530488,0.7904552424017482,4.651921510696411,1.897489547729492,ok,,3796,3036,0,950,0.8248125910758972,8,1e-05,True,4.555326461791992,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.6751431426314422,0.6751431426314422,0.6092105263157894,0.6092105263157894,0,True,False,,True,64,67136,row_interactor_output
